Timestamp,Incident_Severity,Incident_Type,Region_Type,Traffic_Congestion,Weather_Condition,Drone_Availability,Ambulance_Availability,Battery_Life,Air_Traffic,Response_Time,Hospital_Capacity,Distance_to_Incident,Number_of_Injuries,Specialist_Availability,Road_Type,Emergency_Level,Drone_Speed,Ambulance_Speed,Payload_Weight,Fuel_Level,Weather_Impact,Dispatch_Coordinator,Label,Year,Month,Month_Name,DayOfWeek,Hour,Shift
2019-11-29 05:00:00,Low,Accident,Urban,Low,Clear,Unavailable,Available,87.18836089400364,Medium,12.813874329677525,89,35.0,1,Available,Local Road,Minor,48.984224785899926,45.82057544113731,2.79,91.50068159388996,None,AI,Ambulance Only,2019,11,Nov,Friday,5,Overnight (22:00-06:00)
2019-12-25 18:40:00,Low,Cardiac Arrest,Urban,Moderate,Stormy,Unavailable,Available,62.589473723127945,Low,12.746243581175364,54,3.47,2,Unavailable,Highway,Minor,46.90428776602364,41.33874897721839,8.18,61.28621759418656,None,Human,Drone Only,2019,12,Dec,Wednesday,18,Evening (14:00-22:00)
2020-08-15 00:00:00,High,Accident,Urban,Moderate,Clear,Available,Available,84.11617012851828,Low,15.742357293617973,49,21.26,1,Unavailable,Highway,Minor,59.40676779672127,35.20072195383985,2.55,72.93137420484877,None,Human,Ambulance Only,2020,8,Aug,Saturday,0,Overnight (22:00-06:00)
2023-02-11 22:10:00,Low,Accident,Urban,High,Clear,Available,Available,83.5787193640792,Low,24.691978508119064,60,33.28,2,Unavailable,Highway,Minor,49.4202748726901,32.55905408047442,2.7,95.25436521092078,None,Human,Drone Only,2023,2,Feb,Saturday,22,Overnight (22:00-06:00)
2021-07-08 01:30:00,Low,Accident,Urban,Low,Clear,Unavailable,Available,93.56464957119906,Low,15.608619597986252,71,24.44,1,Unavailable,Unpaved Road,Minor,46.741464799970295,42.43858027053446,1.25,68.2367537878245,None,Human,Hybrid Dispatch,2021,7,Jul,Thursday,1,Overnight (22:00-06:00)
2021-11-09 19:10:00,Low,Other,Rural,Moderate,Clear,Unavailable,Available,66.35972806355714,Medium,18.61990067558041,20,20.72,1,Unavailable,Highway,Minor,51.41223692689082,29.466956861799268,7.77,55.78333439902387,Moderate,Human,Ambulance Only,2021,11,Nov,Tuesday,19,Evening (14:00-22:00)
2022-09-20 12:40:00,Low,Accident,Urban,Low,Clear,Available,Available,67.79615579988601,Low,8.705035532863779,26,16.19,1,Unavailable,Highway,Critical,51.26909689584542,46.331200212128365,2.46,48.61744475330244,Moderate,Human,Ambulance Only,2022,9,Sep,Tuesday,12,Day (06:00-14:00)
2019-08-25 19:10:00,High,Accident,Urban,Low,Clear,Available,Available,65.03678565613859,Medium,13.450929239957214,91,7.85,2,Unavailable,Highway,Minor,59.08449193437299,42.52722908669718,8.51,81.56864266913898,None,Human,Drone Only,2019,8,Aug,Sunday,19,Evening (14:00-22:00)
2022-11-05 19:40:00,Low,Accident,Rural,Low,Clear,Available,Available,100.0,Low,21.19618150826649,89,42.36,1,Available,Local Road,Major,60.52526568632233,45.48578745434416,8.97,74.97186720693078,None,AI,Ambulance Only,2022,11,Nov,Saturday,19,Evening (14:00-22:00)
2018-07-03 09:10:00,Low,Fire,Urban,Moderate,Clear,Available,Available,72.94492146797934,Low,22.63413982566216,67,17.41,1,Unavailable,Highway,Major,52.53930026507095,33.44628079864202,0.52,100.0,None,Human,Ambulance Only,2018,7,Jul,Tuesday,9,Day (06:00-14:00)
2018-03-14 06:30:00,Low,Accident,Suburban,Moderate,Clear,Available,Available,72.68320875226873,Low,10.92632005542889,14,27.04,3,Unavailable,Local Road,Major,52.49168273760671,51.17894536407906,9.96,75.89484327471395,None,Human,Hybrid Dispatch,2018,3,Mar,Wednesday,6,Day (06:00-14:00)
2022-06-25 14:20:00,Medium,Accident,Urban,Low,Rainy,Available,Available,82.96982846983217,Medium,15.33539658009214,90,14.4,2,Unavailable,Highway,Major,69.48536324707523,33.68837577474471,8.15,70.1993664391288,Moderate,Human,Drone Only,2022,6,Jun,Saturday,14,Evening (14:00-22:00)
2022-04-18 14:50:00,Medium,Fire,Suburban,Low,Rainy,Unavailable,Available,83.00369867685076,Low,25.548066475363136,39,12.29,1,Available,Highway,Minor,56.14799031176692,31.885495510341524,3.91,79.81314071799657,None,Human,Ambulance Only,2022,4,Apr,Monday,14,Evening (14:00-22:00)
