DayOfWeek,Hour,Incident_Count
Friday,0,2190
Friday,1,2190
Friday,2,2190
Friday,3,2190
Friday,4,2190
Friday,5,2190
Friday,6,2190
Friday,7,2190
Friday,8,2190
Friday,9,2190
Friday,10,2190
Friday,11,2190
Friday,12,2190
Friday,13,2190
Friday,14,2190
Friday,15,2190
Friday,16,2190
Friday,17,2190
Friday,18,2190
Friday,19,2190
Friday,20,2190
Friday,21,2190
Friday,22,2190
Friday,23,2190
Monday,0,2196
Monday,1,2196
Monday,2,2196
Monday,3,2196
Monday,4,2196
Monday,5,2196
Monday,6,2196
Monday,7,2196
Monday,8,2196
Monday,9,2196
Monday,10,2196
Monday,11,2196
Monday,12,2196
Monday,13,2196
Monday,14,2196
Monday,15,2196
Monday,16,2196
Monday,17,2196
Monday,18,2196
Monday,19,2196
Monday,20,2196
Monday,21,2196
Monday,22,2196
Monday,23,2196
Saturday,0,2190
Saturday,1,2190
Saturday,2,2190
Saturday,3,2190
Saturday,4,2190
Saturday,5,2190
Saturday,6,2190
Saturday,7,2190
Saturday,8,2190
Saturday,9,2190
Saturday,10,2190
Saturday,11,2190
Saturday,12,2190
Saturday,13,2190
Saturday,14,2190
Saturday,15,2190
Saturday,16,2190
Saturday,17,2190
Saturday,18,2190
Saturday,19,2190
Saturday,20,2190
Saturday,21,2190
Saturday,22,2190
Saturday,23,2190
Sunday,0,2190
Sunday,1,2190
Sunday,2,2190
Sunday,3,2190
Sunday,4,2190
Sunday,5,2190
Sunday,6,2190
Sunday,7,2190
Sunday,8,2190
Sunday,9,2190
Sunday,10,2190
Sunday,11,2190
Sunday,12,2190
Sunday,13,2190
Sunday,14,2190
Sunday,15,2190
Sunday,16,2190
Sunday,17,2190
Sunday,18,2190
Sunday,19,2190
Sunday,20,2190
Sunday,21,2190
Sunday,22,2190
Sunday,23,2190
Thursday,0,2190
Thursday,1,2190
Thursday,2,2190
Thursday,3,2190
Thursday,4,2190
Thursday,5,2190
Thursday,6,2190
Thursday,7,2190
Thursday,8,2190
Thursday,9,2190
Thursday,10,2190
Thursday,11,2190
Thursday,12,2190
Thursday,13,2190
Thursday,14,2190
Thursday,15,2190
Thursday,16,2190
Thursday,17,2190
Thursday,18,2190
Thursday,19,2190
Thursday,20,2190
Thursday,21,2190
Thursday,22,2190
Thursday,23,2190
Tuesday,0,2191
Tuesday,1,2190
Tuesday,2,2190
Tuesday,3,2190
Tuesday,4,2190
Tuesday,5,2190
Tuesday,6,2190
Tuesday,7,2190
Tuesday,8,2190
Tuesday,9,2190
Tuesday,10,2190
Tuesday,11,2190
Tuesday,12,2190
Tuesday,13,2190
Tuesday,14,2190
Tuesday,15,2190
Tuesday,16,2190
Tuesday,17,2190
Tuesday,18,2190
Tuesday,19,2190
Tuesday,20,2190
Tuesday,21,2190
Tuesday,22,2190
Tuesday,23,2190
Wednesday,0,2190
Wednesday,1,2190
Wednesday,2,2190
Wednesday,3,2190
Wednesday,4,2190
Wednesday,5,2190
Wednesday,6,2190
Wednesday,7,2190
Wednesday,8,2190
Wednesday,9,2190
Wednesday,10,2190
Wednesday,11,2190
Wednesday,12,2190
Wednesday,13,2190
Wednesday,14,2190
Wednesday,15,2190
Wednesday,16,2190
Wednesday,17,2190
Wednesday,18,2190
Wednesday,19,2190
Wednesday,20,2190
Wednesday,21,2190
Wednesday,22,2190
Wednesday,23,2190
