YearMonth,Region_Type,Incident_Type,Incident_Count,Avg_Response_Time
2018-01,Rural,Accident,210,16.04794117737552
2018-01,Rural,Cardiac Arrest,83,14.735550526312055
2018-01,Rural,Fire,31,15.586862300037142
2018-01,Rural,Other,95,14.668903391809003
2018-01,Suburban,Accident,430,15.198917852923135
2018-01,Suburban,Cardiac Arrest,198,15.26778131147537
2018-01,Suburban,Fire,93,15.1246052264726
2018-01,Suburban,Other,181,15.265100047334789
2018-01,Urban,Accident,1583,15.129119869577018
2018-01,Urban,Cardiac Arrest,630,15.26874126621037
2018-01,Urban,Fire,322,15.618801475004473
2018-01,Urban,Other,608,15.185538308541242
2018-02,Rural,Accident,208,14.462598711475218
2018-02,Rural,Cardiac Arrest,88,14.58475450370702
2018-02,Rural,Fire,34,15.545973105627226
2018-02,Rural,Other,63,16.09849498804394
2018-02,Suburban,Accident,357,15.109600837209694
2018-02,Suburban,Cardiac Arrest,135,15.933485941630318
2018-02,Suburban,Fire,97,15.380081400280021
2018-02,Suburban,Other,152,14.776821833216388
2018-02,Urban,Accident,1441,14.926538261245076
2018-02,Urban,Cardiac Arrest,605,15.09255802745846
2018-02,Urban,Fire,264,15.343934779491827
2018-02,Urban,Other,588,15.17404860734102
2018-03,Rural,Accident,200,15.116132977262527
2018-03,Rural,Cardiac Arrest,94,14.599840031816633
2018-03,Rural,Fire,37,16.02740070081217
2018-03,Rural,Other,96,14.271521914236617
2018-03,Suburban,Accident,456,14.94921576626526
2018-03,Suburban,Cardiac Arrest,167,15.570612107141873
2018-03,Suburban,Fire,99,15.944807089621646
2018-03,Suburban,Other,192,14.876827597977545
2018-03,Urban,Accident,1579,15.170821117666437
2018-03,Urban,Cardiac Arrest,594,15.03659493836196
2018-03,Urban,Fire,320,15.07824262355177
2018-03,Urban,Other,630,15.391495544815344
2018-04,Rural,Accident,215,14.73166857283956
2018-04,Rural,Cardiac Arrest,74,15.164161889466484
2018-04,Rural,Fire,46,15.552991155882728
2018-04,Rural,Other,91,15.491608801574133
2018-04,Suburban,Accident,450,14.904291566565764
2018-04,Suburban,Cardiac Arrest,150,15.674511686429941
2018-04,Suburban,Fire,82,15.033586649779165
2018-04,Suburban,Other,189,15.348493069436625
2018-04,Urban,Accident,1500,15.078185588635915
2018-04,Urban,Cardiac Arrest,584,14.934255842837205
2018-04,Urban,Fire,323,14.78940681403723
2018-04,Urban,Other,616,14.754615565275982
2018-05,Rural,Accident,223,15.135412942795444
2018-05,Rural,Cardiac Arrest,89,14.430201365016954
2018-05,Rural,Fire,44,14.65240866062215
2018-05,Rural,Other,89,15.508528998214844
2018-05,Suburban,Accident,433,14.838338319977833
2018-05,Suburban,Cardiac Arrest,190,15.848189041274708
2018-05,Suburban,Fire,91,15.486636495482434
2018-05,Suburban,Other,184,15.0123180510081
2018-05,Urban,Accident,1612,14.85197998960818
2018-05,Urban,Cardiac Arrest,603,14.949642415401206
2018-05,Urban,Fire,297,15.416895992027378
2018-05,Urban,Other,609,14.81938493820315
2018-06,Rural,Accident,224,15.084731414779247
2018-06,Rural,Cardiac Arrest,91,14.979628579305142
2018-06,Rural,Fire,38,16.119075016467292
2018-06,Rural,Other,90,15.59859267889792
2018-06,Suburban,Accident,447,15.133333347690309
2018-06,Suburban,Cardiac Arrest,176,14.828774261633496
2018-06,Suburban,Fire,84,15.585486697833735
2018-06,Suburban,Other,142,15.21919695564383
2018-06,Urban,Accident,1513,14.9628803748206
2018-06,Urban,Cardiac Arrest,648,14.995647507742907
2018-06,Urban,Fire,265,15.011397853681714
2018-06,Urban,Other,602,14.975324808066693
2018-07,Rural,Accident,233,15.283472816325645
2018-07,Rural,Cardiac Arrest,82,14.97342939315913
2018-07,Rural,Fire,49,14.806650304838687
2018-07,Rural,Other,96,15.018527378467867
2018-07,Suburban,Accident,463,15.256381588486109
2018-07,Suburban,Cardiac Arrest,194,14.967087505943514
2018-07,Suburban,Fire,71,14.837736467018946
2018-07,Suburban,Other,175,15.50949574438729
2018-07,Urban,Accident,1567,15.067775241713774
2018-07,Urban,Cardiac Arrest,633,15.286172202251054
2018-07,Urban,Fire,304,15.39263335134491
2018-07,Urban,Other,597,15.39375950511529
2018-08,Rural,Accident,228,15.037603684572865
2018-08,Rural,Cardiac Arrest,83,14.429714802090652
2018-08,Rural,Fire,44,15.335067563974109
2018-08,Rural,Other,87,14.902617950997605
2018-08,Suburban,Accident,457,15.011646315102354
2018-08,Suburban,Cardiac Arrest,176,15.476471981999321
2018-08,Suburban,Fire,79,16.105027406251832
2018-08,Suburban,Other,212,14.341409156009783
2018-08,Urban,Accident,1576,14.99032930455447
2018-08,Urban,Cardiac Arrest,625,15.12752839412126
2018-08,Urban,Fire,273,14.932612286147123
2018-08,Urban,Other,624,14.735773699998475
2018-09,Rural,Accident,213,14.54204622548344
2018-09,Rural,Cardiac Arrest,93,14.03212823910272
2018-09,Rural,Fire,41,16.371635010600237
2018-09,Rural,Other,84,15.822864093571335
2018-09,Suburban,Accident,436,15.174223260294742
2018-09,Suburban,Cardiac Arrest,165,15.13719466318706
2018-09,Suburban,Fire,82,14.287177800108122
2018-09,Suburban,Other,184,15.306636188547524
2018-09,Urban,Accident,1517,15.026127044968547
2018-09,Urban,Cardiac Arrest,605,14.652984221867202
2018-09,Urban,Fire,286,14.999216317675875
2018-09,Urban,Other,614,15.154079550012334
